Organisation,GitHub account
Al Jazeera America,ajam
Al Jazeera English,
American Public Media,apmg
Associated Press,associatedpress
Atlantic Media,
Austin American-Statesman,statesman
Australian Broadcasting Corporation,
BBC News,BBC-News
BBC News Labs,BBC-News-Labs
Berkeley Graduate School of Journalism,
Bloomberg,bloomberg
Bocoup,bocoup
Boston Globe Media,bostonglobe
Brasil 247,
Broadcasting Board of Governors,BBGInnovate
BuzzFeed,BuzzFeedNews
California Civic Data Coalition,california-civic-data-coalition
Census Reporter,CensusReporter
Center for Public Integrity,PublicI
Chalkbeat,Chalkbeat
Chicago Magazine,
City Bureau,
Civica Digital,civica-digital
CNBC Digital,
Code for America,codeforamerica
Columbia University Graduate School of Journalism,
Correct!v,correctiv
CUNY Graduate School of Journalism,cunyjschool
Daily Herald,dailyherald
Daily Kos,
DataMade,datamade
Digital First Media,dfmdata
DNAinfo,DNAinfoData
DocumentCloud,documentcloud
El Faro,
Emerald Media Group,dailyemerald
Enigma,enigma-io
EveryBlock,
FiveThirtyEight,fivethirtyeight
Flipboard,flipboard
Foreign Policy,ForeignPolicy
Freedom of the Press Foundation,freedomofpress
Frontline,frontlinepbs
Frontline Club/Frontline Freelance Register,
Fusion,
Gannett Digital,gannettdigital
Global Editors Network,
GovTrack,govtrack
Hacks/Hackers,hackshackers
Hartford Courant,hartfordcourant
Harvard Business Review,HBRGTech
Hot Type Consulting,
Hoy Chicago,
IEEE Spectrum,
IndiaSpend,IndiaSpend
INN,INN
International Business Times,IBTvisuals
International Center for Journalists,icfj-org
Internews in Kenya,internews-ke
Irish Times,theirishtimes
Knight Lab,knight-lab
KPCC,
La Naci—n,lanacioncom
Marketplace,
MarketWatch,
Mashable,mashable
Matter,
Media Helping Media,
MinnPost,MinnPost
MIT Center for Civic Media,c4fcm
MLive,
Mother Jones,motherjones
National Geographic,natgeo
NBC News,msnbc-devices
Nepali Times,
Neue Zuercher Zeitung,nzzdev
New Mexico In Depth,
New Scientist,newscientistapps
New York magazine,nymag
New Yorker,newyorker
Newsweek,
Nieman Lab,niemanlab
NJ.com,
NPR,nprapps
Ocupop,ocupop
Open Data Institute,theodi
OpenElections,openelections
OpenNews,OpenNews
Palm Beach Post,palmbeachpost
PBS NewsHour,newshour
Periscopic,periscopic
Philly.com,
Poderopedia,poderopedia
PolicyMic,PolicyMic
PolitiFact,
POV,povdocs
ProPublica,propublica
Providence Journal,
PublicSource,publicsource
Quartz,Quartz
Radio Free Europe/Radio Liberty,
reported.ly,
Reuters,thomsonreuters
Reveal,
San Antonio Express-News,
San Francisco Chronicle,sfchronicle
Serious Eats,seriouseats
Skift,skift
Slate,
Sourcefabric,sourcefabric
Southern California Public Radio,SCPR
St. Cloud Times,
St. Louis Public Radio,stlpublicradio
Star Tribune,striblab
Sun Sentinel,SunSentinel
Tabula,tabul
TagesWoche,TagesWoche
Tampa Bay Times,tbtimes
Texas Tribune,texastribune
The Baltimore Sun,baltimore-sun-data
The Bay Citizen,BayCitizen
The Chicago Reporter,thechicagoreporter
The Chicago Tribune,newsapps
The Chronicle of Higher Education,chrondata
The Coral Project,coralproject
The Daily Emerald,dailyemerald
The Dallas Morning News,dallasmorningnews
The Financial Times,ft-interactive
The Globe and Mail,globeandmail
The Guardian,guardian
The Huffington Post,huffpostdata
The Journal News/LoHud.com,delawaredata
The Knight Foundation,
The Lens,TheLens
The Los Angeles Times,datadesk
The Marshall Project,themarshallproject
The New York Times,nytimes
The News Journal,
The Pew Research Center,
The Pittsburgh Post-Gazette,
The Post and Courier,postandcourier
The Register-Guard,registerguard
The Seattle Times,seattletimes
The Spokesman-Review,SpokesmanReview
The Sunlight Foundation,sunlightlabs
The Times and Sunday Times,TimeMagazine
The Trace,
The Verge,
The Wall Street Journal,wsj
The Washington Post,washingtonpost
The Washington Times,
Thought Catalog,
Time,
Twitter,twitter
U.S. News & World Report,
USA Today,usatoday
Ushahidi,ushahidi
Vermont Public Radio,vprnet
Vizzuality,vizzuality
Vox Media,voxmedia
WBEZ,wbez
WBUR,wbur
WFMU,wfmu
Wired,
WNYC,wnyc
WRAL,wraldata
Yemen Times,
Youth Radio,youthradio
Zeit Online,zeitonline
